"dataset","reviewPriority","proposedAction","recommendation","query","expectedTitle","top1Title","expectedOtid","top1Otid","finalRank","entryBucket","flags","titleSimilarity","rationale"
"Main","high","replace_or_anchor_query","add_year_or_replace_case","申请答辩 需要提交哪些电子版材料到指定邮箱","关于2022年下半年同等学力人员申请硕士学位论文答辩的通知","关于2023年上半年同等学力人员申请硕士学位论文答辩的通知","otid_5c9fb358e9324bb6","otid_3be934ddb5624284","3","aggregation_drop","no_explicit_year|competing_year_version|same_family_version_chain|near_duplicate_title","0.84","expected document is year-specific but query has no explicit year; top1 is another year/version in a competing document chain; expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"Main","high","replace_or_anchor_query","add_year_or_replace_case","同等学力申请硕士学位论文答辩的整个流程是怎样的 从要要什么条件到最终获得学位","关于2020年同等学力人员申请硕士学位论文答辩的通知","关于2021年上半年同等学力人员申请硕士学位论文答辩的通知","otid_efde91d4cd6b4ecb","otid_4a5e9eb0f0fc4cc1","8","aggregation_drop","no_explicit_year|competing_year_version|same_family_version_chain|near_duplicate_title","0.7917","expected document is year-specific but query has no explicit year; top1 is another year/version in a competing document chain; expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"Main","high","replace_or_anchor_query","add_year_or_replace_case","同等学力申请硕士学位论文答辩需要满足要什么条件","关于2020年同等学力人员申请硕士学位论文答辩的通知","关于2024年下半年同等学力人员申请硕士学位论文答辩的通知","otid_efde91d4cd6b4ecb","otid_c19ddd94e52346c1","12","aggregation_drop","no_explicit_year|competing_year_version|same_family_version_chain|near_duplicate_title","0.7917","expected document is year-specific but query has no explicit year; top1 is another year/version in a competing document chain; expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"Main","high","replace_or_anchor_query","add_year_or_replace_case","访学资助金额和周期","关于下达2018年中山大学博士生国外访学与合作研究项目资助计划的通知","关于启动2022年中山大学博士生国外访学与合作研究项目资助计划的通知","otid_8f3b2fa91c544f99","otid_afd67d4b1e9e427e","6","early_late","no_explicit_year|competing_year_version|under_anchored_short_query|same_family_version_chain","0.7778","expected document is year-specific but query has no explicit year; top1 is another year/version in a competing document chain; expected and top1 titles are in the same topic family; query is short and lacks anchoring constraints."
"InDomain","high","replace_or_anchor_query","add_year_or_replace_case","同等学力英语考试大纲","关于2025年同等学力人员申请硕士学位全国统一考试报名工作的通知","关于做好中山大学同等学力申请硕士学位人员2017年全国统一考试报名工作的通知","otid_1ab70aa425dd43cd","otid_84b61db3e2364d2a","2","aggregation_drop","no_explicit_year|competing_year_version|under_anchored_short_query|same_family_version_chain","0.6875","expected document is year-specific but query has no explicit year; top1 is another year/version in a competing document chain; expected and top1 titles are in the same topic family; query is short and lacks anchoring constraints; correct document entered candidate retrieval but lost final aggregation."
"Main","high","replace_or_anchor_query","add_year_or_replace_case","申请研究生国家奖学金需要满足哪些基本条件？","研究生院关于做好2024学年研究生国家奖学金评选工作的补充通知","研究生院关于做好2022学年研究生各项奖学金评选工作的通知","otid_1a4309ab66454772","otid_7a69402e31a3446d","3","aggregation_drop","no_explicit_year|competing_year_version|same_family_version_chain","0.6429","expected document is year-specific but query has no explicit year; top1 is another year/version in a competing document chain; expected and top1 titles are in the same topic family; correct document entered candidate retrieval but lost final aggregation."
"InDomain","high","manual_review_same_family","expand_acceptable_otids_or_replace_case","一名应届硕士毕业生 想报考2024年博士 报名时需要注意什么","中山大学2024年博士研究生招生章程及招生学科专业目录","中山大学2024年硕士研究生招生章程及招生学科专业目录","otid_68999cb6f0a3468d","otid_1c14b6043fd645c8","14","aggregation_drop","vague_or_context_dependent_query|same_family_version_chain|near_duplicate_title","0.8824","expected and top1 titles are nearly duplicate; query contains vague or context-dependent wording; correct document entered candidate retrieval but lost final aggregation."
"InDomain","high","manual_review_same_family","expand_acceptable_otids_or_replace_case","2023年上半年同等学力申请硕士学位论文答辩的网上申请截止日期是哪天？","关于2023年上半年同等学力人员申请硕士学位论文答辩的通知","关于2023年下半年同等学力人员申请硕士学位论文答辩的通知","otid_3be934ddb5624284","otid_c7dc0e8b08b445e6","3","aggregation_drop","same_family_version_chain|near_duplicate_title","0.84","expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"InDomain","high","manual_review_same_family","expand_acceptable_otids_or_replace_case","2021年研究生寒假注册规定","关于在校研究生2021年寒假及2020学年春季学期开学注册有关事项的通知","关于在校研究生2021学年寒假放假及2021学年春季学期开学注册有关事项的通知","otid_9616403d7b39495c","otid_9cd645190fe2468b","2","aggregation_drop","same_family_version_chain|near_duplicate_title","0.8333","expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"BlindExtOOD","medium","manual_review_same_family","manual_review","如果一个学生想申请人工智能学院2022年博士项目 他需要经过哪些考核步骤","中山大学人工智能学院2022年以“申请-考核”制招收博士研究生实施办法","中山大学人工智能学院2022年以“申请-考核”制招收博士研究生综合考核通知","otid_c5344a7fc3bc439a","otid_392eac0b27fa4b09","","unknown","same_family_version_chain","0.6667","expected and top1 titles are in the same topic family."
"BlindExtOOD","medium","manual_review_same_family","keep_as_algorithm_case_after_dataset_review","人工智能学院2021年博士申请考核制招生的要要什么条件和材料要求是什么","中山大学人工智能学院2021年以“申请-考核”制招收博士研究生招生简章","中山大学人工智能学院2021年以“申请-考核”制招收博士研究生综合考核通知","otid_1fe8155fa2f64320","otid_06f7620140244798","4","aggregation_drop","same_family_version_chain","0.6667","expected and top1 titles are in the same topic family; correct document entered candidate retrieval but lost final aggregation."
"BlindExtOOD","medium","manual_review_same_family","manual_review","我打算报中山大学人工智能学院2021年的博士，综合考核大概什么时候搞？","中山大学人工智能学院2021年以“申请-考核”制招收博士研究生实施办法","中山大学人工智能学院2021年以“申请-考核”制招收博士研究生综合考核通知","otid_9911c0374cdd4ce4","otid_06f7620140244798","","unknown","same_family_version_chain","0.6667","expected and top1 titles are in the same topic family."
"BlindExtOOD","medium","manual_review_same_family","manual_review","中山大学人工智能学院位于哪里，2023年博士申请的综合考核在什么时间？","中山大学人工智能学院2023年以“申请-考核”制招收博士研究生实施办法","中山大学人工智能学院2023年以“申请-考核”制招收博士研究生综合考核结果公示","otid_dc2fbd2f88f7453b","otid_c495d5e1d55d4213","5","early_late","same_family_version_chain","0.6207","expected and top1 titles are in the same topic family."
